/*Number of Nodes*/
100
/*The Depot*/
2.693394643090097 33.23871143669098 depot
/*The Locations (x_coor y_coor name)*/
19.80199848218081 48.59177423147372 loc1
37.13741546786267 4.926448452580113 loc2
48.14436981522436 34.13209931202367 loc3
4.398085086079479 25.90776131369596 loc4
49.0327480313364 25.02860480105135 loc5
26.26375276878499 22.70118536146538 loc6
22.06286014812327 37.27431822221454 loc7
20.43542401075168 24.81245428630577 loc8
22.710162414951 12.60355280837591 loc9
36.54471803414415 47.49533153455048 loc10
40.63724262581093 7.711134229235761 loc11
44.21678109945464 22.04658759882814 loc12
38.23969979236908 26.33447310712871 loc13
36.44943178984533 22.0990162394939 loc14
14.02091346890241 39.63616326930601 loc15
34.33599377430676 15.3126680968879 loc16
45.51225021622326 48.29977955955842 loc17
27.85974893904353 16.66557809469223 loc18
35.54421189210363 23.59517963928087 loc19
6.46651045095919 29.55800536899128 loc20
25.37164850859689 19.77979255306882 loc21
5.040043022476681 23.99968168266478 loc22
32.55602561056243 35.62996200399468 loc23
15.53550584505206 37.81509215930511 loc24
30.91952088966984 10.65814104543558 loc25
31.24029055634583 32.8419593905964 loc26
37.06542926433584 37.45233501222774 loc27
40.41914595827024 13.8607052720564 loc28
17.38880437365788 23.39592518761538 loc29
26.02063553268661 4.175761522236959 loc30
33.73751106525237 31.4108919776929 loc31
17.40102051061135 17.93675748719107 loc32
40.41756520492487 15.66044106641771 loc33
29.37821300067728 1.02419041461369 loc34
33.35066995352279 37.05835751432631 loc35
39.13629723150296 29.53731208978578 loc36
46.5323072835621 35.06353563373759 loc37
7.096261028706702 38.4358319531575 loc38
18.36149920870288 20.59487892214674 loc39
22.290879154698 40.28009137946731 loc40
19.94922049092703 0.5689311905012762 loc41
29.89767748915029 24.29684201379709 loc42
41.31170393339089 45.38571223007955 loc43
9.270227882957355 30.17100749544628 loc44
46.82561816248356 37.76346522481371 loc45
25.0571585584497 34.77344570344755 loc46
34.88068464823913 12.02633584472731 loc47
26.63339267976316 16.96640972444535 loc48
17.75545199713708 40.13670425758526 loc49
44.24012612101517 29.31193820018721 loc50
28.97349347852043 6.946278950239615 loc51
37.01966146469934 40.09053837000833 loc52
41.16067988527878 4.402681256328655 loc53
1.166309752361561 23.19310512235643 loc54
43.56139036962914 37.6277451726346 loc55
31.71845240574683 17.74904164173244 loc56
22.39828754391175 33.43320655720343 loc57
4.875920160223651 21.01011892590439 loc58
31.15401354208556 12.19157953531349 loc59
26.99429533908544 9.036153844869704 loc60
4.170404069032663 7.661309304220793 loc61
9.884293519776016 32.99226490565977 loc62
46.42197948295397 34.23980605516945 loc63
31.76585158908732 20.8200839290941 loc64
7.587142099043664 36.12320614289077 loc65
26.64583287588053 47.7941422038545 loc66
16.296406653143 37.09741276681907 loc67
27.63997150298425 3.912989172763531 loc68
4.396126783492837 18.56425754802542 loc69
39.41742092285305 21.15398789959645 loc70
46.49266760069537 14.84916115758529 loc71
33.42683586393577 19.10217485848296 loc72
13.28002676422092 21.70953084379535 loc73
24.62075899007149 22.25847234922547 loc74
20.60122589992573 32.09113828020373 loc75
48.66304458703878 32.42235933330496 loc76
18.18328631636455 30.49826256151274 loc77
46.07479410390194 36.78248374234988 loc78
49.0340793572298 37.71803727192705 loc79
6.100416147195259 32.48585917432734 loc80
1.827192424383911 26.53722837260267 loc81
49.07578333924538 42.78835294420196 loc82
16.6088985380904 20.198709173821 loc83
43.95256726783612 34.13096641221733 loc84
27.13733595398939 41.44420978950375 loc85
11.13717509464539 10.60703884373914 loc86
42.9860135573625 12.80022815577526 loc87
37.65093919745455 18.9676510278489 loc88
6.130578284267601 31.35281395681362 loc89
45.91316283292461 28.45112973206997 loc90
26.29240763835978 43.6982792964115 loc91
18.21396069665323 10.75402959059227 loc92
21.91355472002413 40.80140506781536 loc93
11.23122405876005 9.865897429096215 loc94
11.11711197121537 13.48450228323342 loc95
6.606397059960262 23.18935795333884 loc96
47.62637282750968 0.005398690790486826 loc97
24.3748806682388 15.52349126828776 loc98
10.08589305004407 2.400057442643433 loc99
